user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	0.33	0.41	-9.33	70.45	-1.06	14.76	0.33	0.05	13.62	-9.62	14.22	1.37	-9.61	14.18	0.33	-0.71	0.12	0.06	-0.71	-0.71	0.33	0.33	0.09	0.14	45	0.71	0.33	0.16	0.33	0.71	0.09	1.63	-9.89	-9.32	0.75	14.81	0.33	0.05	0.04	0.75	0.71	-9.90	0.79	13.66	0.04	0.05	6.00	0.81	0.07	0.04	0.09	0.16	0.33	0.38	0.16	0.71	1.33	15.00	-10.00	0.04	0.15	0.03	0.01	0.00	0.04	0.04	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	0.12	0.26	-1.01	69.89	-0.04	9.39	0.11	0.03	9.05	-4.68	9.23	0.50	-4.62	9.23	0.12	-0.14	0.18	0.05	-0.14	-0.14	0.12	0.13	0.09	0.14	72	0.16	0.13	0.19	0.13	0.16	0.09	0.09	-8.23	-1.01	0.13	9.38	0.11	0.03	0.04	0.13	0.16	-8.25	0.23	9.05	0.04	0.03	0.50	0.17	0.06	0.04	0.08	0.17	0.13	0.25	0.19	0.16	0.49	10.00	-5.00	0.04	0.16	0.01	0.00	0.00	0.01	0.01	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	1.00	1.98	16.65	70.31	1.61	13.45	1.01	0.07	13.64	16.02	13.55	1.53	16.03	13.53	1.00	-1.27	0.12	0.06	-1.27	-1.27	1.00	1.00	0.13	0.10	29	1.27	1.00	0.08	1.00	1.27	0.13	1.66	15.37	16.65	1.29	13.45	1.01	0.07	0.04	1.29	1.27	15.40	1.74	13.64	0.04	0.07	6.00	1.73	0.08	0.04	0.13	0.08	1.00	2.00	0.08	1.27	1.53	15.00	15.00	0.04	0.10	0.01	0.04	0.01	0.04	0.04	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	0.67	0.69	5.84	70.55	0.52	9.48	0.66	0.02	8.37	5.68	8.91	1.84	5.67	8.94	0.67	-1.02	0.13	0.05	-1.02	-1.02	0.67	0.67	0.08	0.18	24	1.02	0.67	0.13	0.67	1.02	0.08	1.06	5.51	5.86	1.00	9.51	0.66	0.02	0.04	1.00	1.02	5.50	1.24	8.31	0.04	0.02	6.00	1.24	0.03	0.03	0.08	0.13	0.67	0.68	0.13	1.02	1.86	10.00	5.00	0.04	0.12	0.03	0.03	0.03	0.03	0.03	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	0.27	1.19	16.11	70.65	1.61	-0.82	0.28	0.03	-1.73	15.22	-1.24	1.77	15.23	-1.28	0.27	-1.18	0.20	0.07	-1.18	-1.18	0.27	0.27	0.06	0.17	25	1.18	0.27	0.15	0.27	1.18	0.06	0.00	14.23	16.17	1.22	-0.79	0.28	0.03	0.04	1.22	1.18	14.29	1.25	-1.68	0.04	0.03	6.00	1.30	0.04	0.03	0.06	0.15	0.27	1.15	0.15	1.18	1.71	0.00	15.00	0.04	0.16	0.01	0.01	0.00	0.02	0.02	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	-0.00	0.31	-5.79	70.06	-0.09	4.47	0.22	0.14	3.94	-9.55	4.26	0.78	-9.59	4.21	-0.00	-0.28	0.21	0.19	-0.28	-0.28	-0.00	0.24	0.26	0.40	71	0.45	0.24	0.42	0.24	0.45	0.26	0.04	-13.25	-5.81	0.36	4.40	0.22	0.07	0.10	0.36	0.45	-13.29	0.52	4.10	0.17	0.14	0.50	0.42	0.10	0.09	0.10	0.24	0.24	0.25	0.42	0.45	0.91	5.00	-10.00	0.17	0.24	0.01	0.00	0.00	0.01	0.01	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	0.97	0.61	5.92	70.48	0.52	15.00	0.98	0.03	14.90	6.02	14.98	1.35	6.02	15.02	0.97	0.07	0.11	0.05	0.07	0.07	0.97	0.97	0.11	0.19	47	0.11	0.97	0.11	0.97	0.11	0.11	1.61	6.05	5.93	0.12	15.02	0.98	0.03	0.03	0.12	0.11	6.12	1.01	14.95	0.03	0.03	6.00	1.01	0.04	0.04	0.11	0.07	0.97	0.61	0.11	0.11	1.42	15.00	5.00	0.03	0.12	0.02	0.04	0.01	0.04	0.04	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	-0.03	0.54	8.18	70.06	0.04	-0.49	0.13	0.04	-0.94	4.74	-0.71	0.86	4.75	-0.75	-0.03	-0.45	0.18	0.08	-0.45	-0.45	-0.03	0.16	0.20	0.30	50	0.52	0.16	0.33	0.16	0.52	0.20	0.00	1.30	8.24	0.49	-0.38	0.13	0.04	0.11	0.49	0.52	1.31	0.57	-1.02	0.11	0.04	0.50	0.54	0.05	0.09	0.12	0.19	0.16	0.53	0.33	0.52	1.00	0.00	5.00	0.11	0.17	0.00	0.00	0.00	0.00	0.00	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	-0.28	0.79	-1.63	70.11	-0.04	-10.21	0.25	0.03	-9.55	-5.06	-9.91	0.25	-5.06	-9.91	-0.28	-0.07	0.10	0.04	-0.07	-0.07	-0.28	0.28	0.11	0.10	69	0.09	0.28	0.08	0.28	0.09	0.11	-0.09	-8.38	-1.65	0.07	-10.23	0.25	0.03	0.03	0.07	0.09	-8.43	0.30	-9.56	0.03	0.03	0.50	0.28	0.03	0.03	0.11	0.06	0.28	0.77	0.08	0.09	0.25	-10.00	-5.00	0.03	0.11	0.00	0.00	0.00	0.00	0.00	valid	1.00	3.00	contacts
11	10	06ea4359ccd634c6bd80e165cda1946572d2faa3	0.13	0.50	0.18	70.66	0.00	-0.14	0.13	0.05	-1.45	0.14	-0.73	1.47	0.10	-0.79	0.13	-0.71	0.18	0.07	-0.71	-0.71	0.13	0.18	0.19	0.32	0	0.71	0.18	0.32	0.18	0.71	0.19	0.00	0.02	0.35	0.77	-0.17	0.13	0.04	0.06	0.77	0.71	-0.08	0.74	-1.31	0.06	0.05	6.00	0.83	0.06	0.06	0.15	0.32	0.18	0.49	0.32	0.71	1.36	0.00	0.00	0.06	0.33	0.01	0.01	0.01	0.01	0.01	valid	1.00	3.00	contacts
