user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.48	2.29	-3.76	69.03	-0.52	12.21	0.45	0.10	9.41	-4.73	9.51	0.96	-4.77	9.52	0.48	-0.45	0.42	0.09	-0.45	-0.45	0.48	0.48	0.28	0.46	23	0.55	0.48	0.55	0.48	0.55	0.28	1.06	-4.84	-3.87	0.49	12.09	0.45	0.10	0.13	0.49	0.55	-4.83	0.79	9.22	0.15	0.10	6.00	0.90	0.19	0.12	0.28	0.44	0.48	2.35	0.55	0.55	0.91	10.00	-5.00	0.15	0.43	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.02	15.94	-11.17	69.28	0.00	-2.24	0.19	0.08	-0.83	-3.58	-0.88	0.94	-3.66	-0.83	-0.02	-0.97	3.01	0.06	-0.97	-0.97	-0.02	0.19	0.22	0.20	49	0.97	0.19	0.19	0.19	0.97	0.22	0.00	-3.66	-11.26	0.92	-2.87	0.19	0.06	0.06	0.92	0.97	-3.58	0.99	-0.88	0.06	0.08	0.50	0.94	2.63	0.06	0.10	0.19	0.19	16.38	0.19	0.97	0.99	0.00	0.00	0.06	0.20	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.63	1.48	-4.00	69.33	-0.52	4.03	0.63	0.06	4.52	-4.65	4.42	0.80	-4.64	4.52	0.63	-0.57	0.68	0.07	-0.57	-0.57	0.63	0.63	0.13	0.29	8	0.57	0.63	0.33	0.63	0.57	0.13	0.53	-4.64	-4.32	0.47	3.77	0.63	0.06	0.06	0.47	0.57	-4.65	0.87	4.42	0.06	0.06	6.00	0.81	0.18	0.07	0.13	0.33	0.63	1.23	0.33	0.57	0.87	5.00	-5.00	0.06	0.29	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.02	2.35	-13.85	69.48	-1.61	-2.15	0.22	0.14	0.23	-15.03	-0.41	0.27	-14.92	-0.39	0.02	-0.41	0.27	0.09	-0.41	-0.41	0.02	0.24	0.28	0.28	27	0.41	0.24	0.20	0.24	0.41	0.28	0.00	-15.34	-13.86	0.39	-2.21	0.22	0.07	0.13	0.39	0.41	-15.47	0.51	0.27	0.13	0.14	6.00	0.49	0.16	0.14	0.14	0.20	0.24	2.26	0.20	0.41	0.40	0.00	-15.00	0.13	0.19	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.31	0.53	-9.75	69.08	-1.06	14.53	0.39	0.13	13.93	-9.66	14.25	1.21	-9.59	14.24	0.31	-0.69	0.39	0.11	-0.69	-0.69	0.31	0.40	0.28	0.20	45	0.69	0.40	0.27	0.40	0.69	0.28	1.63	-9.52	-9.82	0.71	14.48	0.39	0.08	0.13	0.71	0.69	-9.55	0.82	14.10	0.13	0.13	6.00	0.77	0.17	0.14	0.10	0.27	0.40	0.45	0.27	0.69	1.16	15.00	-10.00	0.13	0.26	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.05	5.10	8.30	69.09	0.09	-8.08	0.41	0.38	-9.27	6.73	-9.14	0.72	6.71	-9.22	-0.05	0.28	0.44	0.20	0.28	0.28	-0.05	0.55	0.74	0.55	63	0.35	0.55	0.43	0.55	0.35	0.74	-0.09	6.63	8.27	0.26	-8.08	0.41	0.28	0.18	0.26	0.35	6.56	0.70	-9.26	0.19	0.38	0.50	0.55	0.18	0.32	0.49	0.38	0.55	5.03	0.43	0.35	0.75	-10.00	10.00	0.19	0.59	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-0.38	1.62	14.34	69.10	1.61	3.78	0.44	0.11	4.25	14.56	4.15	0.87	14.49	4.09	-0.38	-0.82	0.67	0.15	-0.82	-0.82	-0.38	0.44	0.30	0.26	34	0.84	0.44	0.50	0.44	0.84	0.30	0.54	14.84	14.27	0.88	3.72	0.44	0.10	0.13	0.88	0.84	14.87	0.99	4.52	0.13	0.11	6.00	1.15	0.25	0.15	0.20	0.47	0.44	1.60	0.50	0.84	0.85	5.00	15.00	0.13	0.48	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	1.21	2.59	9.64	69.13	1.06	-7.66	1.19	0.47	-9.56	10.94	-9.37	1.38	10.90	-9.40	1.21	0.54	0.40	0.84	0.54	0.54	1.21	1.21	0.46	0.82	14	0.54	1.21	0.35	1.21	0.54	0.46	-1.07	10.99	9.42	0.51	-7.56	1.19	0.47	0.33	0.51	0.54	11.06	1.37	-9.47	0.33	0.47	6.00	1.30	0.27	0.58	0.46	0.35	1.21	2.63	0.35	0.54	1.48	-10.00	10.00	0.33	0.57	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	0.58	0.99	15.12	69.23	1.61	-9.06	0.54	0.15	-9.78	15.46	-9.51	1.05	15.51	-9.48	0.58	0.40	0.31	0.13	0.40	0.40	0.58	0.58	0.47	0.75	36	0.42	0.58	0.26	0.58	0.42	0.47	-1.10	15.69	15.24	0.45	-9.07	0.54	0.14	0.10	0.45	0.42	15.67	0.81	-9.72	0.13	0.15	6.00	0.79	0.14	0.15	0.47	0.22	0.58	0.94	0.26	0.42	1.09	-10.00	15.00	0.13	0.43	0.64	0.72	0.64	0.72	0.72	sampling_glitch	1.00	1.00	glasses
15	10	67091e2b6d1a297ea3ef884931b1034a0bf38ad5	-3.15	6.48	-7.86	69.19	-0.04	-5.19	3.00	0.50	-5.29	-7.65	-5.13	0.88	-7.91	-5.18	-3.15	-0.50	1.07	0.23	-0.50	-0.50	-3.15	3.15	1.07	0.55	56	0.82	3.15	0.84	3.15	0.82	1.07	-0.04	-7.88	-7.18	0.67	-5.12	3.00	0.50	0.22	0.67	0.82	-8.05	3.32	-5.13	0.28	0.50	0.50	3.41	0.31	0.49	1.07	0.53	3.15	7.12	0.84	0.82	1.07	-5.00	-5.00	0.28	1.01	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	1.00	glasses
