user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-1.11	4.29	2.08	56.20	0.52	1.94	1.01	0.16	4.80	3.61	4.39	0.93	3.66	4.54	-1.11	-0.49	0.52	0.10	-0.49	-0.49	-1.11	1.11	0.40	0.41	5	0.49	1.11	0.46	1.11	0.49	0.40	0.53	3.74	2.04	0.33	1.99	1.01	0.16	0.19	0.33	0.49	3.77	1.25	4.63	0.19	0.16	6.00	1.05	0.21	0.22	0.40	0.46	1.11	4.26	0.46	0.49	0.97	5.00	5.00	0.19	0.53	0.06	0.03	0.03	0.06	0.06	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.02	1.49	0.53	56.51	0.00	-8.55	0.19	0.06	-10.26	-0.09	-9.61	0.39	-0.15	-9.60	-0.02	0.41	0.26	0.05	0.41	0.41	-0.02	0.18	0.20	0.11	10	0.41	0.18	0.18	0.18	0.41	0.20	-1.06	-0.59	0.56	0.42	-8.63	0.19	0.05	0.10	0.42	0.41	-0.51	0.47	-10.26	0.11	0.06	6.00	0.46	0.23	0.08	0.09	0.18	0.18	1.49	0.18	0.41	0.38	-10.00	0.00	0.11	0.16	0.00	0.00	0.00	0.00	0.00	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	0.49	1.65	-3.65	56.40	-0.52	3.66	0.49	0.10	4.13	-4.53	3.93	0.76	-4.52	3.90	0.49	-0.94	0.22	0.12	-0.94	-0.94	0.49	0.49	0.23	0.34	8	0.94	0.49	0.28	0.49	0.94	0.23	0.53	-5.17	-3.69	0.97	3.63	0.49	0.10	0.09	0.97	0.94	-5.14	1.09	4.14	0.09	0.10	6.00	1.06	0.15	0.09	0.23	0.28	0.49	1.62	0.28	0.94	0.76	5.00	-5.00	0.09	0.25	0.01	0.02	0.01	0.02	0.02	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	0.49	1.98	-2.46	56.73	-0.52	-9.55	0.47	0.12	-10.47	-4.58	-10.23	0.50	-4.56	-10.23	0.49	-0.21	0.52	0.10	-0.21	-0.21	0.49	0.49	0.23	0.12	20	0.22	0.49	0.17	0.49	0.22	0.23	-1.06	-5.29	-2.77	0.20	-9.71	0.47	0.12	0.08	0.20	0.22	-5.31	0.59	-10.43	0.09	0.12	6.00	0.58	0.23	0.10	0.23	0.15	0.49	2.24	0.17	0.22	0.47	-10.00	-5.00	0.09	0.20	0.04	0.07	0.03	0.08	0.08	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.88	6.07	2.93	56.21	0.52	4.24	0.88	0.06	8.60	3.79	8.49	1.47	3.78	8.49	-0.88	-1.35	0.76	0.04	-1.35	-1.35	-0.88	0.88	0.14	0.13	24	1.35	0.88	0.23	0.88	1.35	0.14	1.06	3.82	2.90	1.35	4.24	0.88	0.06	0.10	1.35	1.35	3.82	1.62	8.62	0.10	0.06	6.00	1.59	0.35	0.11	0.14	0.23	0.88	6.14	0.23	1.35	1.48	10.00	5.00	0.10	0.22	0.01	0.01	0.00	0.02	0.02	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.07	3.48	8.88	56.01	0.09	6.52	0.22	0.10	9.03	5.94	8.96	0.86	5.88	9.02	-0.07	0.74	0.56	0.06	0.74	0.74	-0.07	0.21	0.23	0.17	62	0.74	0.21	0.17	0.21	0.74	0.23	0.09	5.87	8.87	0.80	6.51	0.22	0.06	0.07	0.80	0.74	5.92	0.78	8.98	0.07	0.10	0.50	0.85	0.72	0.07	0.10	0.17	0.21	3.52	0.17	0.74	0.80	10.00	10.00	0.07	0.17	0.01	0.01	0.00	0.02	0.02	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-1.14	1.79	3.48	56.36	0.52	-4.98	1.15	0.06	-5.99	3.66	-5.75	1.42	3.67	-5.75	-1.14	-0.69	0.24	0.06	-0.69	-0.69	-1.14	1.14	0.12	0.18	6	0.69	1.14	0.23	1.14	0.69	0.12	-0.53	3.78	3.45	0.69	-4.96	1.15	0.06	0.09	0.69	0.69	3.73	1.36	-6.03	0.09	0.06	6.00	1.37	0.14	0.05	0.12	0.23	1.14	1.77	0.23	0.69	1.36	-5.00	5.00	0.09	0.13	0.01	0.01	0.01	0.01	0.01	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.96	2.99	0.06	56.11	0.00	2.34	1.01	0.24	4.43	-2.00	3.62	0.91	-1.90	3.66	-0.96	0.09	0.21	0.13	0.09	0.09	-0.96	0.97	0.35	0.18	53	0.17	0.97	0.18	0.97	0.17	0.35	0.04	-3.14	0.13	0.16	2.25	1.01	0.18	0.11	0.16	0.17	-3.19	1.00	4.39	0.14	0.24	0.50	1.04	0.23	0.18	0.32	0.10	0.97	2.97	0.18	0.17	0.89	5.00	0.00	0.14	0.30	0.01	0.00	0.00	0.01	0.01	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	-0.49	1.77	1.69	55.95	0.00	-8.98	0.50	0.10	-10.38	-1.93	-9.98	0.49	-1.91	-10.09	-0.49	0.20	0.25	0.13	0.20	0.20	-0.49	0.49	0.14	0.14	59	0.33	0.49	0.35	0.49	0.33	0.14	-0.09	-3.46	1.60	0.29	-9.20	0.50	0.10	0.13	0.29	0.33	-3.47	0.63	-10.33	0.16	0.10	0.50	0.65	0.17	0.11	0.14	0.25	0.49	1.78	0.35	0.33	0.48	-10.00	0.00	0.16	0.21	0.01	0.01	0.01	0.01	0.01	valid	2.00	3.00	glasses
10	10	da0f79412fce1cf38cab6a1d3b6990e86002a2e7	0.45	2.65	-7.57	56.38	-1.06	4.12	0.34	0.28	5.26	-9.61	5.00	0.75	-9.70	5.07	0.45	0.12	0.70	0.11	0.12	0.12	0.45	0.52	0.59	0.14	22	0.37	0.52	0.40	0.52	0.37	0.59	0.53	-10.71	-7.18	0.39	4.39	0.34	0.26	0.09	0.39	0.37	-10.49	0.70	5.20	0.12	0.28	6.00	0.59	0.27	0.23	0.52	0.19	0.52	2.35	0.40	0.37	0.72	5.00	-10.00	0.12	0.48	0.03	0.03	0.03	0.03	0.03	valid	2.00	3.00	glasses
