user	session	val_id	offX_L	acc_L	medX_L	ipd	xm	medY_L	medaccX_R	rmsiX_R	medY_R	avgX	avgY	medacc_R	medX	medY	offX_R	offY_R	sd_L	rmsi_R	offY_L	offY	offX	accX_R	sdX_R	sd_R	set_no	accY	accX	sdY_L	medaccX	medaccY	sdX_L	ym	medX_R	avgX_L	medaccY_R	avgY_L	medaccX_L	rmsiX	rmsiY	medaccY_L	accY_R	avgX_R	acc	avgY_R	rmsiY_L	rmsiX_L	d	medacc	rmsi_L	rmsi	sdX	sdY	accX_L	medacc_L	sdY_R	accY_L	acc_R	y	x	rmsiY_R	sd	repeated_L	repeated_R	repeated_C	repeated	repeated_any	outlier_reason	hmd	setup	vision
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.56	1.93	14.43	58.61	0.09	1.18	0.67	0.09	-0.45	10.01	0.38	0.90	10.11	0.35	0.56	0.11	0.37	0.08	0.11	0.11	0.56	0.57	0.27	0.19	58	0.19	0.57	0.22	0.57	0.19	0.27	0.00	5.72	14.31	0.13	1.21	0.67	0.09	0.04	0.13	0.19	5.74	0.63	-0.44	0.06	0.09	0.50	0.72	0.16	0.08	0.26	0.15	0.57	2.04	0.22	0.19	0.92	0.00	10.00	0.06	0.23	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	-0.50	0.64	-5.08	58.87	-0.52	-4.46	0.53	0.05	-5.44	-5.48	-4.92	0.79	-5.51	-4.91	-0.50	0.04	0.14	0.04	0.04	0.04	-0.50	0.50	0.17	0.17	7	0.15	0.50	0.16	0.50	0.15	0.17	-0.53	-5.94	-5.03	0.15	-4.48	0.53	0.05	0.03	0.15	0.15	-5.94	0.53	-5.36	0.04	0.05	6.00	0.54	0.06	0.05	0.17	0.08	0.50	0.60	0.16	0.15	0.82	-5.00	-5.00	0.04	0.16	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	1.07	4.40	-10.35	59.28	-1.61	-5.86	1.07	0.16	-4.32	-13.86	-4.98	2.50	-13.86	-5.05	1.07	0.00	0.08	0.30	0.00	0.00	1.07	1.07	0.36	0.65	42	0.22	1.07	0.25	1.07	0.22	0.36	-0.54	-17.54	-10.35	0.19	-5.80	1.07	0.16	0.08	0.19	0.22	-17.28	1.12	-4.16	0.10	0.16	6.00	1.07	0.04	0.15	0.36	0.13	1.07	4.41	0.25	0.22	2.24	-5.00	-15.00	0.10	0.34	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	-0.32	0.67	-0.06	58.95	0.00	-5.53	0.30	0.07	-5.24	-0.34	-5.36	0.44	-0.33	-5.36	-0.32	-0.41	0.15	0.06	-0.41	-0.41	-0.32	0.32	0.14	0.12	2	0.41	0.32	0.04	0.32	0.41	0.14	-0.52	-0.58	-0.04	0.40	-5.52	0.30	0.06	0.03	0.40	0.41	-0.61	0.53	-5.22	0.03	0.07	6.00	0.53	0.06	0.04	0.13	0.04	0.32	0.66	0.04	0.41	0.43	-5.00	0.00	0.03	0.09	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	-1.35	1.16	15.07	58.68	1.61	-14.37	1.24	0.18	-16.04	13.48	-15.16	2.48	13.61	-15.13	-1.35	-0.14	0.40	0.07	-0.14	-0.14	-1.35	1.35	0.43	0.22	30	0.14	1.35	0.11	1.35	0.14	0.43	-1.66	12.32	14.60	0.13	-14.30	1.24	0.18	0.05	0.13	0.14	12.31	1.42	-16.04	0.06	0.18	6.00	1.30	0.18	0.19	0.43	0.10	1.35	1.06	0.11	0.14	2.53	-15.00	15.00	0.06	0.46	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.46	3.31	-8.32	59.10	-1.06	11.98	0.43	0.05	13.41	-9.46	12.68	1.64	-9.53	12.65	0.46	-2.26	0.11	0.12	-2.26	-2.26	0.46	0.46	0.13	0.20	45	2.26	0.46	0.15	0.46	2.26	0.13	1.63	-10.69	-8.27	2.28	11.96	0.43	0.05	0.08	2.28	2.26	-10.69	2.33	13.41	0.08	0.05	6.00	2.34	0.06	0.08	0.13	0.15	0.46	3.31	0.15	2.26	1.60	15.00	-10.00	0.08	0.15	0.65	0.64	0.64	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	-0.09	1.21	10.78	58.91	1.06	1.20	0.10	0.03	-0.55	9.86	0.23	0.90	9.85	0.30	-0.09	0.20	0.19	0.05	0.20	0.20	-0.09	0.09	0.06	0.11	9	0.26	0.09	0.19	0.09	0.26	0.06	0.00	8.97	10.77	0.28	1.03	0.10	0.03	0.06	0.28	0.26	8.98	0.28	-0.54	0.06	0.03	6.00	0.31	0.06	0.05	0.05	0.10	0.09	1.25	0.19	0.26	0.91	0.00	10.00	0.06	0.09	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.16	0.91	-0.85	58.63	-0.04	4.45	0.15	0.09	4.06	-4.64	4.32	0.97	-4.74	4.26	0.16	-0.62	0.42	0.07	-0.62	-0.62	0.16	0.20	0.24	0.18	57	0.62	0.20	0.26	0.20	0.62	0.24	0.04	-8.43	-0.85	0.68	4.50	0.15	0.07	0.09	0.68	0.62	-8.32	0.67	4.12	0.09	0.09	0.50	0.69	0.20	0.09	0.21	0.26	0.20	0.86	0.26	0.62	0.94	5.00	-5.00	0.09	0.30	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.06	1.63	0.12	58.98	0.00	13.33	0.15	0.07	13.92	0.06	13.69	1.07	0.13	13.62	0.06	-1.26	0.13	0.20	-1.26	-1.26	0.06	0.17	0.19	0.39	28	1.26	0.17	0.28	0.17	1.26	0.19	1.61	0.08	0.10	1.33	13.34	0.15	0.06	0.12	1.33	1.26	0.02	1.27	14.04	0.12	0.07	6.00	1.34	0.06	0.12	0.10	0.28	0.17	1.64	0.28	1.26	1.07	15.00	0.00	0.12	0.28	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.31	0.36	-4.38	58.92	-0.52	-0.03	0.36	0.04	-1.11	-4.66	-0.59	1.20	-4.61	-0.56	0.31	-0.61	0.16	0.06	-0.61	-0.61	0.31	0.32	0.20	0.18	3	0.61	0.32	0.11	0.32	0.61	0.20	0.00	-4.88	-4.38	0.58	-0.07	0.36	0.03	0.04	0.58	0.61	-4.96	0.70	-1.14	0.04	0.04	6.00	0.69	0.04	0.04	0.17	0.11	0.32	0.35	0.11	0.61	1.22	0.00	-5.00	0.04	0.16	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.30	1.06	8.86	58.54	0.04	4.90	0.10	0.07	4.91	5.22	4.91	0.68	5.10	4.92	0.30	-0.06	0.25	0.06	-0.06	-0.06	0.30	0.34	0.38	0.37	54	0.12	0.34	0.13	0.34	0.12	0.38	0.04	0.81	8.95	0.10	4.92	0.10	0.06	0.03	0.10	0.12	0.95	0.42	4.86	0.05	0.07	0.50	0.25	0.06	0.06	0.35	0.09	0.34	1.00	0.13	0.12	0.76	5.00	5.00	0.05	0.29	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.73	1.61	-3.23	59.01	-0.52	4.18	0.78	0.07	4.79	-4.24	4.50	0.22	-4.20	4.50	0.73	-0.50	0.42	0.06	-0.50	-0.50	0.73	0.73	0.18	0.18	8	0.50	0.73	0.11	0.73	0.50	0.18	0.53	-5.18	-3.29	0.50	4.23	0.78	0.07	0.05	0.50	0.50	-5.20	0.89	4.76	0.05	0.07	6.00	0.95	0.13	0.08	0.18	0.11	0.73	1.73	0.11	0.50	0.27	5.00	-5.00	0.05	0.19	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	-0.02	0.38	10.35	58.75	1.06	-9.90	0.17	0.03	-10.30	9.94	-10.12	0.48	9.87	-10.14	-0.02	-0.18	0.30	0.13	-0.18	-0.18	-0.02	0.17	0.19	0.25	14	0.23	0.17	0.23	0.17	0.23	0.19	-1.07	9.35	10.47	0.21	-9.91	0.17	0.03	0.06	0.21	0.23	9.36	0.31	-10.35	0.07	0.03	6.00	0.26	0.07	0.06	0.09	0.17	0.17	0.28	0.23	0.23	0.56	-10.00	10.00	0.07	0.16	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.45	1.10	8.84	58.47	0.04	9.16	0.38	0.10	9.12	4.92	9.25	0.76	4.85	9.26	0.45	-0.46	0.24	0.11	-0.46	-0.46	0.45	0.45	0.30	0.20	73	0.46	0.45	0.25	0.45	0.46	0.30	0.09	1.44	8.83	0.44	9.15	0.38	0.10	0.08	0.44	0.46	1.53	0.75	9.29	0.08	0.10	0.50	0.73	0.10	0.07	0.30	0.25	0.45	1.11	0.25	0.46	0.73	10.00	5.00	0.08	0.13	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	-0.27	0.67	10.92	58.96	1.06	5.10	0.23	0.05	4.30	9.67	4.70	1.33	9.72	4.70	-0.27	-0.30	0.18	0.04	-0.30	-0.30	-0.27	0.27	0.12	0.09	17	0.30	0.27	0.07	0.27	0.30	0.12	0.53	8.53	10.88	0.29	5.12	0.23	0.05	0.04	0.29	0.30	8.53	0.41	4.30	0.04	0.05	6.00	0.38	0.05	0.03	0.12	0.07	0.27	0.70	0.07	0.30	1.34	5.00	10.00	0.04	0.11	0.65	0.65	0.65	0.65	0.65	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.40	1.18	5.53	58.86	0.52	-6.11	0.41	0.03	-5.61	5.36	-5.84	0.86	5.38	-5.87	0.40	-0.88	0.10	0.04	-0.88	-0.88	0.40	0.40	0.07	0.15	6	0.88	0.40	0.10	0.40	0.88	0.07	-0.53	5.26	5.52	0.91	-6.10	0.41	0.03	0.04	0.91	0.88	5.23	0.97	-5.61	0.04	0.03	6.00	0.99	0.05	0.04	0.07	0.10	0.40	1.18	0.10	0.88	0.85	-5.00	5.00	0.04	0.10	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	2.00	uncorrected
16	10	b2a9a66d715cac6c0024fb4459ef29045bde7749	0.15	0.54	8.26	58.41	0.04	-9.00	0.11	0.06	-9.51	4.93	-9.33	0.27	4.71	-9.27	0.15	-0.05	0.20	0.07	-0.05	-0.05	0.15	0.16	0.17	0.36	68	0.29	0.16	0.37	0.16	0.29	0.17	-0.09	1.43	8.24	0.21	-9.08	0.11	0.06	0.08	0.21	0.29	1.47	0.35	-9.56	0.23	0.06	0.50	0.23	0.08	0.07	0.16	0.24	0.16	0.51	0.37	0.29	0.42	-10.00	5.00	0.23	0.27	0.64	0.64	0.64	0.64	0.64	sampling_glitch	1.00	2.00	uncorrected
